time,layer_name,a,h,stress_theta,stress_z,rho,pressure,flow_rate,wss
384.0,artery,0.0010361463850917902,0.0001923686790095653,120316.62565068284,23816.07156267397,1652.6649106252805,22338.15787172249,1e-06,4.5783265065441485
385.0,artery,0.00103601727321729,0.00019230259243867683,120343.10146348874,23834.39681154281,1651.8607371926216,22338.15787172249,1e-06,4.580038418118987
386.0,artery,0.0010358883750019824,0.00019223651557278193,120369.61641084802,23852.728456670025,1651.0571538067325,22338.15787172249,1e-06,4.581748348229033
387.0,artery,0.001035759693977715,0.00019217045059145258,120396.16957163865,23871.065904728533,1650.2541855941183,22338.15787172249,1e-06,4.58345624628426
388.0,artery,0.0010356312335963308,0.00019210439969141044,120422.76000097896,23889.408558328367,1649.451857680949,22338.15787172249,1e-06,4.585162062666346
389.0,artery,0.001035502997231698,0.0001920383650836604,120449.38673212638,23907.755816644356,1648.650195170856,22338.15787172249,1e-06,4.58686574870462
390.0,artery,0.0010353749881817566,0.00019197234899077275,120476.04877842723,23926.10707601066,1647.849223124148,22338.15787172249,1e-06,4.588567256651666
391.0,artery,0.0010352472096703778,0.00019190635364434475,120502.74513501849,23944.46173047936,1647.0489665383548,22338.15787172249,1e-06,4.590266539661372
392.0,artery,0.0010351196648492435,0.00019184038128260025,120529.47478057296,23962.819172348216,1646.2494503299854,22338.15787172249,1e-06,4.5919635517665975
393.0,artery,0.0010349923567995023,0.00019177443414815248,120556.23667875607,23981.17879265664,1645.4506993174982,22338.15787172249,1e-06,4.593658247859778
394.0,artery,0.0010348652885335125,0.00019170851448588157,120583.02977981139,23999.539981654707,1644.6527382053569,22338.15787172249,1e-06,4.59535058367227
395.0,artery,0.001034738462996435,0.00019164262454095073,120609.8530219529,24017.902129244394,1643.855591569167,22338.15787172249,1e-06,4.597040515755658
396.0,artery,0.001034611883067708,0.00019157676655695563,120636.70533261307,24036.26462539342,1643.0592838417767,22338.15787172249,1e-06,4.59872800146454
397.0,artery,0.0010344855515625798,0.0001915109427741668,120663.58562977298,24054.626860527656,1642.2638393003394,22338.15787172249,1e-06,4.600412998938508
398.0,artery,0.001034359471233486,0.00019144515542789809,120690.49282310058,24072.988225898287,1641.469282054246,22338.15787172249,1e-06,4.602095467086112
399.0,artery,0.0010342336447714334,0.00019137940674696707,120717.42581509947,24091.34811392858,1640.675636033912,22338.15787172249,1e-06,4.603775365568701
400.0,artery,0.0010341080748072623,0.00019131369895226475,120744.38350210675,24109.70591853869,1639.8829249803584,22338.15787172249,1e-06,4.605452654785827
401.0,artery,0.0010339826518181046,0.00019124805175245,120771.21523567602,24128.059250311424,1639.0911315146052,22338.15787172249,1e-06,4.607128794246712
402.0,artery,0.0010338574570293762,0.00019118245065438685,120798.0263364578,24146.409812612234,1638.300228446863,22338.15787172249,1e-06,4.608802695308342
403.0,artery,0.0010337325280184943,0.00019111688692858414,120824.86324358487,24164.75886736111,1637.5102295178729,22338.15787172249,1e-06,4.610473851239338
404.0,artery,0.001033607867685667,0.00019105136166083303,120851.72561990599,24183.106072618015,1636.7211611074545,22338.15787172249,1e-06,4.612142218548426
405.0,artery,0.00103348347816467,0.00019098587741752263,120878.61210045309,24201.450747291063,1635.933049515851,22338.15787172249,1e-06,4.6138077639394695
406.0,artery,0.0010333593805519421,0.00019092043380133602,120905.54671698975,24219.792511917643,1635.1459275602354,22338.15787172249,1e-06,4.615470199978111
407.0,artery,0.001033235539655494,0.0001908550398967748,120932.47812653835,24238.129920279134,1634.3598205608982,22338.15787172249,1e-06,4.6171299932869285
408.0,artery,0.0010331119753519613,0.00019078969539496993,120959.42906016525,24256.46259374114,1633.574746983447,22338.15787172249,1e-06,4.618786872803865
409.0,artery,0.0010329886899695024,0.00019072440198815354,120986.39871655975,24274.790049243627,1632.7907313067817,22338.15787172249,1e-06,4.620440802439342
410.0,artery,0.00103286568544092,0.00019065916207908776,121013.38579502949,24293.1116401701,1632.0077977771743,22338.15787172249,1e-06,4.6220917513578215
411.0,artery,0.0010327429636520892,0.00019059397805460646,121040.38899632865,24311.42672300845,1631.2259702439683,22338.15787172249,1e-06,4.623739689310798
412.0,artery,0.0010326205264516509,0.00019052885226637784,121067.40703603627,24329.734661789407,1630.4452721600896,22338.15787172249,1e-06,4.625384586508291
